,tsne-1,class
155,-1.3029022,0.0
156,-5.410311,1.0
157,10.866441,0.0
158,-7.189507,1.0
159,7.1012845,0.0
160,7.5093055,0.0
161,6.3700094,0.0
162,8.855007,0.0
163,9.012917,0.0
164,-10.120523,1.0
165,-13.548507,1.0
166,5.2683,0.0
167,-11.05855,1.0
168,-6.421413,1.0
169,-8.503289,1.0
170,-5.9934535,1.0
171,-0.5307321,0.0
172,-8.00158,1.0
173,-2.8905363,0.0
174,-5.1891556,1.0
175,10.538506,0.0
176,-6.295648,1.0
177,-6.457072,0.0
178,3.6463273,0.0
179,5.7666383,0.0
180,-11.241553,1.0
181,-10.516092,1.0
182,-0.8818862,0.0
183,12.232284,0.0
184,-9.652711,1.0
185,-7.5398912,1.0
186,3.1725166,0.0
187,-5.262283,0.0
188,10.671098,0.0
189,-11.891871,1.0
190,3.9283655,0.0
191,-4.7776637,0.0
192,9.712631,0.0
193,-5.2729087,0.0
194,-1.8262469,0.0
195,-10.104648,1.0
196,-8.751227,1.0
197,6.7680845,0.0
198,7.5812454,0.0
199,-7.771876,1.0
200,10.230073,0.0
201,3.6147654,0.0
202,-6.927827,1.0
203,-3.6311488,0.0
204,-8.20182,1.0
205,3.636977,0.0
206,6.280466,0.0
207,0.28318033,0.0
208,-2.3791945,0.0
209,11.244344,0.0
210,5.437797,0.0
211,-5.379594,0.0
212,9.558419,0.0
213,1.0406595,0.0
214,8.391193,0.0
215,-7.640646,1.0
216,-7.9918017,1.0
217,-7.4920454,1.0
218,-12.410398,1.0
219,-8.06364,1.0
220,-2.8021088,1.0
221,4.094522,1.0
222,-8.365245,1.0
223,-7.6276803,1.0
224,-0.5665771,0.0
225,-2.384066,0.0
226,2.355247,0.0
227,-0.36335,0.0
228,5.436399,0.0
229,6.541992,0.0
230,10.765769,0.0
231,-2.9059234,1.0
232,13.261764,0.0
233,8.595588,0.0
234,-6.507567,1.0
235,4.518178,0.0
236,3.6506653,0.0
237,8.492447,0.0
238,-8.689185,1.0
239,-12.378,1.0
240,-1.9943782,0.0
241,8.02913,0.0
242,-1.160722,0.0
243,6.2880335,0.0
244,-0.69082975,0.0
245,8.236048,0.0
246,-3.8492382,0.0
247,-4.863103,0.0
248,1.6216924,0.0
249,7.070637,0.0
250,6.2269464,0.0
251,5.2546253,0.0
252,7.474557,0.0
253,8.772102,1.0
254,4.299675,0.0
255,9.671154,0.0
256,-1.6513565,0.0
257,10.218881,0.0
258,-0.25053027,0.0
259,6.9330683,0.0
260,5.431397,0.0
261,9.886126,0.0
262,5.1849875,0.0
263,4.7203226,0.0
264,7.6266074,0.0
265,4.3876495,0.0
266,-1.554058,0.0
267,6.304337,0.0
268,11.111034,0.0
269,6.713012,0.0
270,6.8854895,0.0
271,-7.4503627,1.0
272,8.176528,0.0
273,0.25251746,0.0
274,-6.6483464,1.0
275,2.145989,0.0
276,5.6737423,0.0
277,6.867337,0.0
278,4.403386,0.0
279,6.9965544,0.0
280,-12.298262,1.0
281,-12.105786,1.0
282,-12.249038,1.0
283,-6.094026,0.0
284,9.162277,0.0
285,7.4138646,0.0
286,7.0422697,0.0
287,-9.255156,1.0
288,2.9885466,0.0
289,-9.866143,1.0
290,10.444739,0.0
291,-8.263683,1.0
292,-11.274594,0.0
293,0.94115007,0.0
294,1.4455726,0.0
295,0.2327055,0.0
296,0.8784164,0.0
297,7.0320873,0.0
298,-4.6286707,0.0
299,9.293452,0.0
300,0.2879873,0.0
301,8.138568,0.0
302,-10.971828,1.0
303,-1.4769726,0.0
304,-1.9347452,0.0
305,-9.856346,0.0
306,4.520325,0.0
307,12.273776,0.0
308,11.462154,0.0
309,7.9967165,0.0
310,3.3764482,0.0
311,3.568831,0.0
312,-2.7582955,0.0
313,32.37638,0.0
314,-7.2912188,1.0
315,2.7311962,0.0
316,-7.255499,1.0
317,-12.291548,1.0
318,3.9428647,0.0
319,-8.531956,1.0
320,-7.696425,1.0
321,4.748798,0.0
322,-5.284466,0.0
323,0.8082263,0.0
324,5.0559597,0.0
325,2.6820002,0.0
326,0.6716247,1.0
327,1.2965729,0.0
328,6.5010004,0.0
